"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"White Lady T-Bar Tow","Reindeer House","2-SL","https://lift-world.info/en/lifts/14495/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1088 m","?? Stk","?? m/s","?? min",,"331 m"
"White Lady Chairlift","Reindeer House","2-CLD","https://lift-world.info/en/lifts/277/datas.htm",,,,"760 m",,,"1054 m","1097 m","23 %","39 %","1106 m","12 Stk","2,0 m/s","15 min",,"337 m"
"West Wall Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/14494/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"West Wall Chairlift","Reindeer House","2-CLF","https://lift-world.info/en/lifts/13163/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Sheiling Tow","Reindeer House","1-SL","https://lift-world.info/en/lifts/14493/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Ptarmigan Tow","Reindeer House","2-SL","https://lift-world.info/en/lifts/14492/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Polar express","Reindeer House","1-SL","https://lift-world.info/en/lifts/18238/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"M1 Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/14491/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Link Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/14490/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Fiacaill T Bar","Reindeer House","2-SL","https://lift-world.info/en/lifts/14489/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Fiacaill Ridge Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/14488/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Day Lodge Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/18237/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Coire Na Ciste Tow","Reindeer House","2-SL","https://lift-world.info/en/lifts/14487/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Coire Na Ciste Chairlift","Reindeer House","2-CLF","https://lift-world.info/en/lifts/13162/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Coire Cas Tow","Reindeer House","2-SL","https://lift-world.info/en/lifts/14486/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Car Park Tow","Reindeer House","2-SL","https://lift-world.info/en/lifts/14485/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Car Park Chairlift","Reindeer House","2-CLD","https://lift-world.info/en/lifts/14428/datas.htm",,,,"650 m",,,"?? m","760 m","?? %","?? %","694 m","?? Stk","2,0 m/s","15 min",,"110 m"
"CairnGorm Funicular","Reindeer House","120-FUC","https://lift-world.info/en/lifts/1220/datas.htm",,,,"645 m",,"760 m","?? m","1097 m","23 %","40 %","1982 m",,"10,0 m/s","3.5 to 8 min",,"452 m"
"Aonach Poma","Reindeer House","1-SL","https://lift-world.info/en/lifts/14484/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
