"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Ripaille II","Champéry","2-SL","https://lift-world.info/en/lifts/10477/datas.htm",,,,"1670 m",,"?? m","?? m","1926 m","?? %","?? %","1187 m","?? Stk","?? m/s","?? min",,"256 m"
"Ripaille I","Champéry","1-SL","https://lift-world.info/en/lifts/10476/datas.htm",,,,"1670 m",,"?? m","?? m","1926 m","?? %","?? %","1187 m","?? Stk","?? m/s","?? min",,"256 m"
"Planachaux-Croix de Culet","Champéry","3-CLF","https://lift-world.info/en/lifts/19550/datas.htm",,,,"1763 m",,,"?? m","1939 m","?? %","?? %","566 m","?? Stk","?? m/s","?? min",,"176 m"
"Planachaux","Champéry","6-CLD","https://lift-world.info/en/lifts/5265/datas.htm",,,,"1685 m",,,"?? m","1938 m","?? %","?? %","756 m","8 Stk","?? m/s","2,75 min",,"253 m"
"Pauvre-Conche","Champéry","4-CLF","https://lift-world.info/en/lifts/9053/datas.htm",,,,"1677 m",,,"?? m","1983 m","?? %","?? %","1005 m","13 Stk","?? m/s","?? min",,"306 m"
"Louis","Champéry","1-SL","https://lift-world.info/en/lifts/10475/datas.htm",,,,"1770 m",,"?? m","?? m","1920 m","?? %","?? %","505 m","?? Stk","?? m/s","?? min",,"150 m"
"Léchereuse","Champéry","1-SL","https://lift-world.info/en/lifts/10474/datas.htm",,,,"1620 m",,"?? m","?? m","1810 m","?? %","?? %","850 m","?? Stk","?? m/s","?? min",,"190 m"
"Grand Paradis","Champéry","6-CLD/B","https://lift-world.info/en/lifts/5264/datas.htm",,,,"1030 m",,"?? m","?? m","1817 m","?? %","?? %","1630 m","?? Stk","?? m/s","5,6 min",,"787 m"
"Culet - Planachaux","Champéry","2-CLF","https://lift-world.info/en/lifts/3994/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Chavanette","Champéry","4-CLF","https://lift-world.info/en/lifts/9052/datas.htm",,,,"1820 m",,,"?? m","2151 m","?? %","?? %","900 m","13 Stk","?? m/s","?? min",,"331 m"
"Champéry-Planachaux","Champéry","??-AT","https://lift-world.info/en/lifts/14693/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Champéry - Croix-de-Culet","Champéry","125-AT","https://lift-world.info/en/lifts/93/datas.htm",,,,"1037 m",,"?? m","1949 m","1936 m","43 %","80 %","2144 m","2 Stk","10,0 m/s","5,25 min",,"899 m"
