"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"West Wall","Mt. Crested Butte","4-CLF","https://lift-world.info/en/lifts/9078/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","530,5 m","?? Stk","2,29 m/s","?? min",,"143 m"
"Teocalli","Mt. Crested Butte","2-CLF","https://lift-world.info/en/lifts/10354/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"188 m"
"Silver Queen Express","Mt. Crested Butte","4-CLD","https://lift-world.info/en/lifts/10353/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","2377,5 m","?? Stk","5,58 m/s","7 min",,"627 m"
"Red Lady Express","Mt. Crested Butte","4-CLD","https://lift-world.info/en/lifts/10352/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1721 m","19 Stk","5,58 m/s","5 min",,"296 m"
"Prospect Lift","Mt. Crested Butte","4-CLF","https://lift-world.info/en/lifts/8150/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","749 m","?? Stk","2,3 m/s","5,5 min",,"165 m"
"Peach Tree","Mt. Crested Butte","2-CLF","https://lift-world.info/en/lifts/10351/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"64 m"
"Paradise Express","Mt. Crested Butte","4-CLD","https://lift-world.info/en/lifts/10350/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1732 m","?? Stk","5,58 m/s","5 min",,"397 m"
"Painter Boy","Mt. Crested Butte","3-CLF","https://lift-world.info/en/lifts/10349/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","573 m","?? Stk","2,3 m/s","?? min",,"102 m"
"North Face","Mt. Crested Butte","2-SL","https://lift-world.info/en/lifts/10348/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","475,5 m","?? Stk","3,3 m/s","?? min",,"145 m"
"High Lift","Mt. Crested Butte","2-SL","https://lift-world.info/en/lifts/10347/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"182,5 m"
"Gold Link","Mt. Crested Butte","3-CLF","https://lift-world.info/en/lifts/10346/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","755 m","?? Stk","2,3 m/s","?? min",,"160 m"
"East River","Mt. Crested Butte","4-CLD","https://lift-world.info/en/lifts/11940/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1054 m","?? Stk","5,08 m/s","?? min",,"312 m"
