"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Tom Dearg Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18713/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","345 m","?? Stk","?? m/s","?? min",,"55 m"
"Sunnyside Poma 2","Glenshee","1-SL","https://lift-world.info/en/lifts/18712/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","530 m","?? Stk","?? m/s","?? min",,"108 m"
"Sunnyside Poma 1","Glenshee","1-SL","https://lift-world.info/en/lifts/18711/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","530 m","?? Stk","?? m/s","?? min",,"108 m"
"Sunnyside Chairlift","Glenshee","2-CLF","https://lift-world.info/en/lifts/13188/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","487 m","?? Stk","?? m/s","?? min",,"120 m"
"Plastic Slope Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18710/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Meall Odhar Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18709/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","530 m","?? Stk","?? m/s","?? min",,"144 m"
"Glas Maol Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18708/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","1061 m","?? Stk","?? m/s","?? min",,"296 m"
"Dink Dink Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18707/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Coire Fionn Poma 2","Glenshee","1-SL","https://lift-world.info/en/lifts/18706/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","692 m","?? Stk","?? m/s","?? min",,"163 m"
"Coire Fionn Poma 1","Glenshee","1-SL","https://lift-world.info/en/lifts/18705/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","692 m","?? Stk","?? m/s","?? min",,"163 m"
"Cluny Poma 2","Glenshee","1-SL","https://lift-world.info/en/lifts/18704/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","335 m","?? Stk","?? m/s","?? min",,"52 m"
"Cluny Poma 1","Glenshee","1-SL","https://lift-world.info/en/lifts/18703/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","335 m","?? Stk","?? m/s","?? min",,"52 m"
"Claybokie Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18702/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","358 m","?? Stk","?? m/s","?? min",,"80 m"
"Chairnwell T-bar","Glenshee","2-SL","https://lift-world.info/en/lifts/18701/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","600 m","?? Stk","?? m/s","?? min",,"170 m"
"Carn Aosda T-bar","Glenshee","2-SL","https://lift-world.info/en/lifts/18700/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","900 m","?? Stk","?? m/s","?? min",,"230 m"
"Cairnwell Chairlift","Glenshee","1-CLF","https://lift-world.info/en/lifts/286/datas.htm",,,,"650 m",,,"?? m","894 m","?? %","?? %","?? m","?? Stk","?? m/s","10 min",,"244 m"
"Cairnwell Chairlift","Glenshee","3-CLF","https://lift-world.info/en/lifts/18152/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","750 m","?? Stk","?? m/s","?? min",,"260 m"
"Caenlochan Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18699/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","589 m","?? Stk","?? m/s","?? min",,"149 m"
"Butcharts T-bar","Glenshee","2-SL","https://lift-world.info/en/lifts/18698/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","490 m","?? Stk","?? m/s","?? min",,"95 m"
"Butcharts Access Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18697/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","927 m","?? Stk","?? m/s","?? min",,"179 m"
"Beag Poma","Glenshee","1-SL","https://lift-world.info/en/lifts/18696/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Baddoch Chairlift","Glenshee","2-CLF","https://lift-world.info/en/lifts/18695/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","450 m","?? Stk","2 m/s","3 min",,"?? m"
