"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Tsarvaz","Grimentz","2-SL","https://lift-world.info/en/lifts/705/datas.htm",,,,"2370 m",,"?? m","?? m","2600 m","?? %","?? %","1120 m","?? Stk","?? m/s","6 min",,"230 m"
"Tsarva","Grimentz","6-CLD","https://lift-world.info/en/lifts/5434/datas.htm",,,,"2366 m",,,"?? m","2727 m","20 %","?? %","1787 m","17 Stk","5 m/s","6 min",,"361 m"
"Orzival","Grimentz","1-SL","https://lift-world.info/en/lifts/1169/datas.htm",,,,"2580 m",,,"?? m","2820 m","20 %","?? %","1250 m","15 Stk","3,6 m/s","6 min",,"240 m"
"Marenda","Grimentz","1-SL","https://lift-world.info/en/lifts/1168/datas.htm",,,,"2130 m",,,"?? m","2250 m","?? %","?? %","596 m","?? Stk","?? m/s","4 min",,"120 m"
"Lona II","Grimentz","1-SL","https://lift-world.info/en/lifts/1166/datas.htm",,,,"2588 m",,,"?? m","2880 m","?? %","?? %","1040 m","13 Stk","4 m/s","4 min",,"292 m"
"Lona 1","Grimentz","1-SL","https://lift-world.info/en/lifts/1167/datas.htm",,,,"2350 m",,,"?? m","2635 m","?? %","?? %","1300 m","?? Stk","4,0 m/s","6 min",,"285 m"
"Les Crêts","Grimentz","2-CLF","https://lift-world.info/en/lifts/704/datas.htm",,,,"2133 m",,,"?? m","2321 m","22,6 %","40 %","865 m","8 Stk","2,3 m/s","7 min",,"188 m"
"Grimentz - Sorebois","Grimentz","125-AT","https://lift-world.info/en/lifts/17158/datas.htm",,,,"1606 m",,,"?? m","2701 m","?? %","?? %","3534 m","3 Stk","10 m/s","7,05 min",,"1095 m"
"Grimentz - Bendolla","Grimentz","12-MGD","https://lift-world.info/en/lifts/703/datas.htm",,,,"1600 m",,,"1285 m","2130 m","40 %","?? %","1390 m","13 Stk","5 m/s","5,67 min",,"530 m"
"Grands Plans","Grimentz","4-CLD","https://lift-world.info/en/lifts/645/datas.htm",,,,"2109 m",,,"?? m","2436 m","32 %","?? %","1018 m","9 Stk","5 m/s","3 min",,"327 m"
"Ecole","Grimentz","1-SL","https://lift-world.info/en/lifts/1165/datas.htm",,,,"2131 m",,,"?? m","2146 m","?? %","?? %","200 m","?? Stk","?? m/s","2 min",,"15 m"
"Bendolla - Col du Pouce","Grimentz","6-CLD/B","https://lift-world.info/en/lifts/19050/datas.htm",,,,"2094 m",,,"2044,5 m","2701 m","29,7 %","69,2 %","2173,3 m","19 Stk","6,0 m/s","6,8 min",,"607 m"
"Becs-de-Bosson","Grimentz","2-SL","https://lift-world.info/en/lifts/1096/datas.htm",,,,"2530 m",,,"?? m","2870 m","22 %","?? %","1600 m","16 Stk","3,2 m/s","8 min",,"340 m"
"Zinal - Sorebois","Zinal","74-AT","https://lift-world.info/en/lifts/666/datas.htm",,,,"1663 m",,,"?? m","2441 m","?? %","?? %","1892 m","3 Stk","10 m/s","7 min",,"778 m"
"Tzarmettaz","Zinal","1-SL","https://lift-world.info/en/lifts/696/datas.htm",,,,"2270 m",,,"?? m","2677 m","?? %","?? %","1230 m","?? Stk","?? m/s","?? min",,"407 m"
"Sorebois","Zinal","1-SL","https://lift-world.info/en/lifts/700/datas.htm",,,,"2428 m",,,"?? m","2440 m","?? %","?? %","92 m","5 Stk","?? m/s","?? min",,"12 m"
"Remointze","Zinal","1-SL","https://lift-world.info/en/lifts/699/datas.htm",,,,"2440 m",,"?? m","?? m","2510 m","?? %","?? %","300 m","?? Stk","?? m/s","?? min",,"70 m"
"Remointze","Zinal","1-SL","https://lift-world.info/en/lifts/18925/datas.htm",,,,"2440 m",,,"?? m","2507 m","?? %","?? %","303 m","?? Stk","2,8 m/s","?? min",,"67 m"
"Gouilles","Zinal","1-SL","https://lift-world.info/en/lifts/697/datas.htm",,,,"2260 m",,"?? m","?? m","2495 m","?? %","?? %","800 m","?? Stk","4 m/s","?? min",,"235 m"
"Corne de Sorebois","Zinal","4-CLF","https://lift-world.info/en/lifts/665/datas.htm",,,,"2623 m",,,"?? m","2876 m","37 %","?? %","639 m","6 Stk","2,3 m/s","5 min",,"253 m"
"Combe Durand","Zinal","1-SL","https://lift-world.info/en/lifts/702/datas.htm",,,,"2425 m",,,"?? m","2833 m","?? %","?? %","1333 m","?? Stk","?? m/s","?? min",,"408 m"
"Combe","Zinal","1/2-SL","https://lift-world.info/en/lifts/698/datas.htm",,,,"2430 m",,,"?? m","2653 m","?? %","?? %","1057 m","?? Stk","3,2 m/s","?? min",,"223 m"
"Chiesso","Zinal","1-SL","https://lift-world.info/en/lifts/701/datas.htm",,,,"2125 m",,"?? m","?? m","2440 m","?? %","?? %","930 m","?? Stk","?? m/s","2,5 min",,"315 m"
"Chiesso","Zinal","4-CLD","https://lift-world.info/en/lifts/5669/datas.htm",,,,"2190 m",,,"?? m","2650 m","26 %","?? %","1720 m","17 Stk","5 m/s","6 min",,"460 m"
