"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Les Arcs Express","Bourg-Saint-Maurice","250-FUC","https://lift-world.info/en/lifts/19160/datas.htm",,"3000 Pers/h",,,"810 m",,,"?? m","1620 m","?? %","?? %","2885 m",,"12 m/s","7 min",,"818 m"
"Arc en Ciel","Bourg-Saint-Maurice","276-FUC","https://lift-world.info/en/lifts/3303/datas.htm",,"3000 Pers/h",,,"808 m",,,"?? m","1618 m","?? %","39 %","2850 m",,"12,0 m/s","7 min",,"810 m"
"Arc en Ciel","Bourg-Saint-Maurice","68-AT","https://lift-world.info/en/lifts/18129/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Verdons Sud","Champagny-en-Vanoise","4-CLF","https://lift-world.info/en/lifts/8321/datas.htm",,"1680 Pers/h",,,"1825 m",,,"?? m","2474 m","?? %","83 %","1814 m","?? Stk","2,5 m/s","?? min",,"649 m"
"Rossa","Champagny-en-Vanoise","6-CLD","https://lift-world.info/en/lifts/3328/datas.htm",,"3000 Pers/h",,,"2060 m",,"?? m","?? m","2310 m","?? %","48 %","1567 m","15 Stk","4,25 m/s","6,13 min",,"250 m"
"Eterlou","Champagny-en-Vanoise","1-SL","https://lift-world.info/en/lifts/8320/datas.htm",,"900 Pers/h",,,"1868 m",,,"?? m","1953 m","?? %","21 %","435 m","?? Stk","2,5 m/s","?? min",,"85 m"
"Champagny","Champagny-en-Vanoise","10-MGD","https://lift-world.info/en/lifts/8319/datas.htm",,"2150 Pers/h",,,"1250 m",,"?? m","?? m","1963 m","38 %","76 %","1895 m","17 Stk","5,0 m/s","6,30 min",,"713 m"
"Borseliers 3","Champagny-en-Vanoise","1-SL","https://lift-world.info/en/lifts/8318/datas.htm",,"890 Pers/h",,,"1950 m",,,"?? m","2095 m","30 %","45 %","485 m","6 Stk","3,0 m/s","2,69 min",,"145 m"
"Borseliers","Champagny-en-Vanoise","6-CLD","https://lift-world.info/en/lifts/3329/datas.htm",,"3000 Pers/h",,,"1821 m",,"?? m","?? m","2107 m","?? %","47 %","959 m","12 Stk","4,25 m/s","6,13 min",,"286 m"
"Z","La Plagne","1-SL","https://lift-world.info/en/lifts/8393/datas.htm",,"830 Pers/h",,,"1989 m",,,"?? m","2135 m","25 %","36 %","566 m","9 Stk","3,0 m/s","3 min",,"146 m"
"Verdons Sud","La Plagne","6-CLD","https://lift-world.info/en/lifts/15539/datas.htm",,"3600 Pers/h",,,"1825 m",,,"?? m","2474 m","?? %","?? %","1674 m","?? Stk","5,5 m/s","?? min",,"650 m"
"Verdons Nord","La Plagne","4-CLF","https://lift-world.info/en/lifts/8392/datas.htm",,"2182 Pers/h",,,"2120 m",,,"?? m","2475 m","28 %","85 %","1293 m","23 Stk","2,1 m/s","10,27 min",,"355 m"
"Vega","La Plagne","2-CLF","https://lift-world.info/en/lifts/8391/datas.htm",,"1200 Pers/h",,,"1980 m",,,"?? m","2304 m","?? %","80 %","1530 m","?? Stk","2,1 m/s","?? min",,"324 m"
"Vanoise-Express","La Plagne","200-AT","https://lift-world.info/en/lifts/3210/datas.htm",,"2000 (4000) Pers/h",,,"1548 m",,,"?? m","1612 m","?? %","36 %","1830 m","?? Stk","12,5 m/s","4,0 min",,"70 m"
"Tyrolien","La Plagne","1-SL","https://lift-world.info/en/lifts/8473/datas.htm",,"890 Pers/h",,,"2075 m",,,"?? m","2120 m","?? %","44 %","193 m","?? Stk","2,7 m/s","?? min",,"45 m"
"Traversee","La Plagne","2-CLF","https://lift-world.info/en/lifts/8390/datas.htm",,"1200 Pers/h",,,"2989 m",,,"?? m","3102 m","?? %","50 %","514 m","7 Stk","2,4 m/s","?? min",,"113 m"
"Traversée","La Plagne","4-CLF","https://lift-world.info/en/lifts/16071/datas.htm",,"2000 Pers/h",,,"2985 m",,,"405 m","3101 m","28,64 %","68 %","427 m","5 Stk","2,1 m/s","?? min",,"116 m"
"Télémétro","La Plagne","30-AT","https://lift-world.info/en/lifts/8389/datas.htm",,"350 Pers/h",,,"1858 m",,"?? m","?? m","1990 m","?? %","32 %","1023 m","3 Stk","6,0 m/s","4 min",,"132 m"
