"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Zoré","Avoriaz","4-CLD","https://lift-world.info/en/lifts/3949/datas.htm",,"2400 Pers/h",,,"1450 m",,,"?? m","1855 m","24 %","?? %","1300 m","12 Stk","5,0 m/s","4,5 min",,"305 m"
"Vérare","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7372/datas.htm",,"1280 Pers/h",,,"1180 m",,"?? m","?? m","1782 m","42 %","75 %","1555 m","?? Stk","2,5 m/s","?? min",,"602 m"
"Trashers","Avoriaz","1-SL","https://lift-world.info/en/lifts/8905/datas.htm",,"460 Pers/h",,,"1800 m",,,"?? m","1821 m","14 %","16 %","162 m","?? Stk","1,4 m/s","?? min",,"21 m"
"Stade","Avoriaz","6-CLD","https://lift-world.info/en/lifts/5187/datas.htm",,"3000 Pers/h",,,"1737 m",,,"?? m","1930 m","26 %","58 %","772 m","?? Stk","5,0 m/s","?? min",,"193 m"
"Snow Park","Avoriaz","1-SL","https://lift-world.info/en/lifts/8904/datas.htm",,"900 Pers/h",,,"2050 m",,,"?? m","2152 m","26 %","36 %","407 m","?? Stk","3,45 m/s","?? min",,"102 m"
"Séraussaix","Avoriaz","4-CLF","https://lift-world.info/en/lifts/7370/datas.htm",,"1200 Pers/h",,,"1861 m",,,"?? m","1796 m","15 %","40 %","935 m","?? Stk","2,3 m/s","?? min",,"135 m"
"Séraussaix","Avoriaz","6-CLD","https://lift-world.info/en/lifts/17725/datas.htm",,"2600 Pers/h",,,"1636 m",,,"1008 m","1772 m","13,59 %","53 %","1024 m","9 Stk","5,5 m/s","3,33 min",,"136 m"
"Prodains","Avoriaz","80-AT","https://lift-world.info/en/lifts/7369/datas.htm",,"992 Pers/h",,,"1161 m",,,"?? m","1753 m","?? %","59 %","1787 m","?? Stk","9,5 m/s","?? min",,"592 m"
"Prodains","Avoriaz","1-SL","https://lift-world.info/en/lifts/17315/datas.htm",,"678 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","135 m","?? Stk","1,9 m/s","?? min",,"21 m"
"Proclou","Avoriaz","4-CLD","https://lift-world.info/en/lifts/7368/datas.htm",,"2400 Pers/h",,,"1634 m",,,"?? m","1873 m","18 %","60 %","1639 m","?? Stk","4,6 m/s","?? min",,"239 m"
"Proclou","Avoriaz","4-CLF","https://lift-world.info/en/lifts/15034/datas.htm",,"1800 Pers/h",,,"1630 m",,"?? m","?? m","1870 m","?? %","?? %","1660 m","?? Stk","2,5 m/s","?? min",,"240 m"
"Proclou","Avoriaz","6-CLD","https://lift-world.info/en/lifts/17715/datas.htm",,"3200 Pers/h",,,"1636 m",,"?? m","1606 m","1873 m","14,76 %","50 %","1634 m","14 Stk","?? m/s","?? min",,"237 m"
"Plateau","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7367/datas.htm",,"1200 Pers/h",,,"1757 m",,,"?? m","1831 m","9 %","29 %","722 m","?? Stk","2,0 m/s","?? min",,"64 m"
"Mossettes Express","Avoriaz","4-CLD","https://lift-world.info/en/lifts/7366/datas.htm",,"2400 Pers/h",,,"1832 m",,,"?? m","2501 m","29 %","88 %","2376 m","?? Stk","5,0 m/s","?? min",,"669 m"
"Manège du Surf","Avoriaz","1-SL","https://lift-world.info/en/lifts/8903/datas.htm",,"560 Pers/h",,,"1739 m",,,"?? m","1799 m","?? %","46 %","172 m","?? Stk","2,34 m/s","?? min",,"60 m"
"Lindarets","Avoriaz","4-CLD","https://lift-world.info/en/lifts/7365/datas.htm",,"2400 Pers/h",,,"1495 m",,,"?? m","1874 m","32 %","79 %","1245 m","?? Stk","4,6 m/s","?? min",,"379 m"
"Les Prolays","Avoriaz","6-CLD","https://lift-world.info/en/lifts/1841/datas.htm",,"3000 Pers/h",,,"1496 m",,,"?? m","1942 m","24 %","73 %","1490 m","13 Stk","5,0 m/s","5,0 min",,"446 m"
"Les Grandes Combes","Avoriaz","6-CLD","https://lift-world.info/en/lifts/12460/datas.htm",,"2640 Pers/h",,,"1479 m",,"?? m","?? m","2182 m","39 %","85 %","1930 m","?? Stk","5,5 m/s","6 min",,"703 m"
"Léchère","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7364/datas.htm",,"1800 Pers/h",,,"1500 m",,,"?? m","1606 m","10 %","38 %","1029 m","?? Stk","2,5 m/s","?? min",,"106 m"
"Léchère","Avoriaz","6-CLD","https://lift-world.info/en/lifts/18762/datas.htm",,"2700 Pers/h",,,"1501 m",,,"?? m","1736 m","?? %","?? %","1714 m","16 Stk","5,5 m/s","5,56 min",,"235 m"
"Lac Intret","Avoriaz","4-CLD","https://lift-world.info/en/lifts/8877/datas.htm",,"2800 Pers/h",,,"1730 m",,,"?? m","2190 m","28 %","62 %","1696 m","?? Stk","5,0 m/s","?? min",,"460 m"
"Fornet","Avoriaz","6-CLD","https://lift-world.info/en/lifts/5335/datas.htm",,"3000 Pers/h",,,"?? m",,"?? m","?? m","?? m","26 %","73 %","1603 m","?? Stk","5,0 m/s","?? min",,"410 m"
"Ecole 2","Avoriaz","1-SL","https://lift-world.info/en/lifts/8902/datas.htm",,"600 Pers/h",,,"1819 m",,,"?? m","1847 m","?? %","21 %","182 m","?? Stk","2,34 m/s","?? min",,"28 m"
"Ecole 1","Avoriaz","1-SL","https://lift-world.info/en/lifts/8901/datas.htm",,"600 Pers/h",,,"1819 m",,,"?? m","1847 m","?? %","21 %","176 m","?? Stk","2,52 m/s","?? min",,"28 m"
"Du Tour Express","Avoriaz","6-CLD","https://lift-world.info/en/lifts/72/datas.htm",,"3000 Pers/h",,,"1725 m",,,"?? m","1901 m","23 %","78 %","774 m","?? Stk","4,0 m/s","?? min",,"176 m"
"Dromonts 2","Avoriaz","1-SL","https://lift-world.info/en/lifts/8900/datas.htm",,"410 Pers/h",,,"1799 m",,,"?? m","1831 m","7 %","18 %","421 m","?? Stk","2,5 m/s","?? min",,"32 m"
"Dromonts 1","Avoriaz","1-SL","https://lift-world.info/en/lifts/8899/datas.htm",,"480 Pers/h",,,"1799 m",,,"?? m","1831 m","8 %","17 %","439 m","?? Stk","2,5 m/s","?? min",,"32 m"
"Cuboré","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7363/datas.htm",,"1350 Pers/h",,,"1989 m",,,"?? m","2296 m","17 %","81 %","989 m","?? Stk","2,3 m/s","?? min",,"307 m"
"Crot","Avoriaz","2-CLF","https://lift-world.info/en/lifts/7361/datas.htm",,"900 Pers/h",,,"1479 m",,,"?? m","1941 m","38 %","86 %","1315 m","?? Stk","2,5 m/s","?? min",,"462 m"
"Combe du Machon","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7360/datas.htm",,"1450 Pers/h",,,"1700 m",,,"?? m","2229 m","38 %","84 %","1490 m","?? Stk","2,3 m/s","?? min",,"529 m"
