"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Tufs","Tignes","3-CLF","https://lift-world.info/en/lifts/4179/datas.htm",,"1500 Pers/h",,,"2145 m",,,"?? m","2705 m","?? %","52 %","1620 m","21 Stk","2,5 m/s","?? min",,"560 m"
"Tufs","Tignes","6-CLD","https://lift-world.info/en/lifts/13445/datas.htm",,"2700 Pers/h",,,"2130 m",,,"?? m","2695 m","38 %","70 %","1599 m","15 Stk","5,25 m/s","6,0 min",,"562 m"
"Tovière","Tignes","10-MGD","https://lift-world.info/en/lifts/16987/datas.htm",,"3300 Pers/h",,,"2092 m",,,"1653 m","2692 m","36,3 %","80,4 %","1782 m","16 Stk","6,0 m/s","5 min",,"600 m"
"Tommeuses","Tignes","8-CLD","https://lift-world.info/en/lifts/2002/datas.htm",,"3600 (4500) Pers/h",,,"2237 m",,,"?? m","2694 m","?? %","73 %","1716 m","18 Stk","4,4 m/s","6,5 min",,"457 m"
"Tichots","Tignes","6-CLD","https://lift-world.info/en/lifts/8919/datas.htm",,"3600 Pers/h",,,"2100 m",,,"?? m","2361 m","33 %","63 %","1171 m","14 Stk","5,0 m/s","4,3 min",,"361 m"
"Tichot","Tignes","4-CLF","https://lift-world.info/en/lifts/4185/datas.htm",,"2200 Pers/h",,,"2100 m",,,"?? m","2463 m","?? %","35 %","1196 m","17 Stk","2,3 m/s","?? min",,"363 m"
"Sache","Tignes","6-MGD","https://lift-world.info/en/lifts/4130/datas.htm",,"1500 Pers/h",,,"1560 m",,,"1860 m","2182 m","33,33 %","94 %","1986 m","17 Stk","4,0 m/s","8,17 min",,"622 m"
"Rosset","Tignes","4-CLF","https://lift-world.info/en/lifts/4184/datas.htm",,"2400 Pers/h",,,"2100 m",,,"?? m","2156 m","?? %","33 %","322 m","7 Stk","2,0 m/s","?? min",,"56 m"
"Rosset","Tignes","4-CLF","https://lift-world.info/en/lifts/18302/datas.htm",,"1500 Pers/h",,,"2078 m",,,"?? m","2143 m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"65 m"
"Rosolin 2","Tignes","2-SL","https://lift-world.info/en/lifts/8741/datas.htm",,"1000 Pers/h",,,"2884 m",,,"?? m","3052 m","?? %","26 %","900 m","?? Stk","3,2 m/s","?? min",,"168 m"
"Rosolin 1","Tignes","2-SL","https://lift-world.info/en/lifts/8740/datas.htm",,"900 Pers/h",,,"2884 m",,,"?? m","3052 m","?? %","21 %","980 m","?? Stk","3,0 m/s","?? min",,"168 m"
"Replat","Tignes","3-CLF","https://lift-world.info/en/lifts/4178/datas.htm",,"1800 Pers/h",,,"2384 m",,,"?? m","2493 m","?? %","38 %","951 m","15 Stk","2,3 m/s","?? min",,"109 m"
"Pitots","Tignes","1-SL","https://lift-world.info/en/lifts/8739/datas.htm",,"800 Pers/h",,,"1560 m",,,"?? m","1631 m","?? %","25 %","360 m","?? Stk","3,0 m/s","?? min",,"71 m"
"Paquis","Tignes","6-CLD","https://lift-world.info/en/lifts/220/datas.htm",,"2400 Pers/h",,,"2050 m",,,"?? m","2492 m","?? %","64 %","1610 m","15 Stk","5,0 m/s","5 min",,"442 m"
"Panoramic","Tignes","3-CLF","https://lift-world.info/en/lifts/4183/datas.htm",,"1350 Pers/h",,,"3003 m",,,"?? m","3027 m","9 %","18 %","266 m","1 Stk","1,5 m/s","?? min",,"24 m"
"Palafour 2","Tignes","3-CLF","https://lift-world.info/en/lifts/4127/datas.htm",,"1700 Pers/h",,,"2100 m",,,"?? m","2574 m","?? %","75 %","1330 m","?? Stk","2,3 m/s","?? min",,"474 m"
"Palafour 1","Tignes","3-CLF","https://lift-world.info/en/lifts/4126/datas.htm",,"1700 Pers/h",,,"2100 m",,,"?? m","2574 m","?? %","75 %","1330 m","?? Stk","2,3 m/s","?? min",,"474 m"
"Palafour","Tignes","6-CLD","https://lift-world.info/en/lifts/11296/datas.htm",,"3600 Pers/h",,,"2100 m",,,"?? m","2571 m","39 %","83 %","1319 m","15 Stk","5,0 m/s","5 min",,"471 m"
"Millonex 2","Tignes","1-SL","https://lift-world.info/en/lifts/8738/datas.htm",,"600 Pers/h",,,"2100 m",,,"?? m","2161 m","?? %","31 %","274 m","?? Stk","3,0 m/s","?? min",,"61 m"
"Millonex 1","Tignes","1-SL","https://lift-world.info/en/lifts/8737/datas.htm",,"600 Pers/h",,,"2100 m",,,"?? m","2182 m","?? %","31 %","328 m","?? Stk","3,0 m/s","?? min",,"82 m"
"Merles","Tignes","6-CLD","https://lift-world.info/en/lifts/5353/datas.htm",,"3000 Pers/h",,,"2390 m",,,"?? m","2676 m","23 %","96 %","1314 m","18 Stk","5,0 m/s","5,9 min",,"286 m"
"Merle Blanc","Tignes","3-CLF","https://lift-world.info/en/lifts/4168/datas.htm",,"1350 Pers/h",,,"2390 m",,,"?? m","2743 m","?? %","61 %","1540 m","15 Stk","2,3 m/s","?? min",,"353 m"
"Marais","Tignes","3-CLF","https://lift-world.info/en/lifts/4177/datas.htm",,"1100 Pers/h",,,"2160 m",,,"?? m","2725 m","?? %","75 %","2292 m","25 Stk","2,3 m/s","17 min",,"565 m"
"Les Lanches","Tignes","4-CLD/B","https://lift-world.info/en/lifts/4125/datas.htm",,"2140 Pers/h",,,"2110 m",,,"2444 m","2855 m","30,48 %","83 %","2555 m","27 Stk","5,0 m/s","10,5 min",,"745 m"
"Leisse","Tignes","4-CLF","https://lift-world.info/en/lifts/4124/datas.htm",,"2400 Pers/h",,,"2762 m",,,"?? m","3025 m","36 %","42 %","794 m","6 Stk","2,3 m/s","5,45 min",,"263 m"
"Lavachet","Tignes","1-SL","https://lift-world.info/en/lifts/8736/datas.htm",,"800 Pers/h",,,"2060 m",,,"?? m","2103 m","?? %","26 %","267 m","?? Stk","2,5 m/s","?? min",,"43 m"
"Grattalu","Tignes","4-CLF","https://lift-world.info/en/lifts/4123/datas.htm",,"2400 Pers/h",,,"2430 m",,,"?? m","2704 m","?? %","52 %","1183 m","14 Stk","2,3 m/s","?? min",,"274 m"
"Grattalu","Tignes","6-CLD","https://lift-world.info/en/lifts/5352/datas.htm",,"2700 Pers/h",,,"2432 m",,,"?? m","2753 m","24 %","58 %","1422 m","14 Stk","5,25 m/s","4,5 min",,"321 m"
